City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jiayuguan,39.8167,98.3,10.27,12,31,5.59,CN,1680195706
84,narsaq,60.9167,-46.05,1.12,57,0,0.86,GL,1680195706
85,beringovskiy,63.05,179.3167,-16.67,96,66,3.1,RU,1680195706
86,jijiga,9.35,42.8,20.59,70,97,1.02,ET,1680195706
87,ganzhou,28.8184,115.4327,13.86,88,75,1.24,CN,1680195706
88,antalaha,-14.9003,50.2788,25.86,83,79,4.3,MG,1680195706
89,alice town,25.7167,-79.3,23.97,73,61,9.09,BS,1680195706
90,bethel,41.3712,-73.414,5.83,38,2,1.34,US,1680195707
91,port alfred,-33.5906,26.891,16.77,79,1,1.34,ZA,1680195707
92,barrow,71.2906,-156.7887,-18.99,84,0,3.6,US,1680195707
93,saskylakh,71.9167,114.0833,-33.26,100,98,2.18,RU,1680195708
94,krasnyy kut,50.95,46.9667,11.75,85,100,4.0,RU,1680195708
95,lorengau,-2.0226,147.2712,26.72,80,98,2.41,PG,1680195708
96,lima,-12.0432,-77.0282,25.14,73,75,4.12,PE,1680195534
97,kalmunai,7.4167,81.8167,26.01,77,92,2.63,LK,1680195708
98,oranjemund,-28.55,16.4333,16.91,79,2,9.57,NA,1680195580
99,cabatuan,10.8794,122.486,25.11,81,97,3.58,PH,1680195709
100,iqaluit,63.7506,-68.5145,-16.15,71,40,2.06,CA,1680195633
101,ordzhonikidze,52.4411,61.7408,-4.26,86,41,6.89,KZ,1680195709
102,corinto,37.9407,22.9573,15.5,62,9,1.98,GR,1680195709
103,victoria,22.2855,114.1577,21.29,91,100,2.24,HK,1680195423
104,hermanus,-34.4187,19.2345,17.11,80,21,2.3,ZA,1680195710
105,talnakh,69.4865,88.3972,-26.0,98,86,2.77,RU,1680195710
106,riyadh,24.6877,46.7219,28.08,20,77,7.57,SA,1680195517
107,micheweni,-4.9667,39.8333,27.58,76,23,3.98,TZ,1680195710
108,clyde river,70.4692,-68.5914,-17.87,78,100,3.09,CA,1680195710
109,pudozh,61.8099,36.5345,-7.09,95,99,1.14,RU,1680195711
110,marawi,7.9986,124.2928,20.59,94,100,0.88,PH,1680195711
111,ihosy,-22.4,46.1167,20.28,93,44,1.25,MG,1680195711
112,semarang,-6.9932,110.4203,25.96,83,100,1.54,ID,1680195580
113,carnarvon,-24.8667,113.6333,23.76,77,100,4.37,AU,1680195711
114,imbituba,-28.24,-48.6703,27.11,70,31,5.56,BR,1680195711
115,vrangel,42.7297,133.0839,6.27,60,39,2.72,RU,1680195712
116,hamilton,39.1834,-84.5333,12.64,42,10,1.79,US,1680195716
117,luderitz,-26.6481,15.1594,19.06,66,0,10.91,NA,1680195580
118,thompson,55.7435,-97.8558,-11.91,52,20,5.66,CA,1680195617
119,arraial do cabo,-22.9661,-42.0278,29.98,70,40,4.12,BR,1680195716
120,kudahuvadhoo,2.6708,72.8944,27.96,73,19,2.49,MV,1680195716
121,malgobek,43.5092,44.5931,1.94,91,100,1.97,RU,1680195716
122,samfya,-11.3649,29.5565,20.41,86,92,2.0,ZM,1680195717
123,tyumentsevo,53.3224,81.498,-6.45,89,31,2.62,RU,1680195717
124,saint-philippe,-21.3585,55.7679,25.77,88,86,4.07,RE,1680195717
125,akyab,20.15,92.9,25.87,81,12,3.37,MM,1680195717
126,qiqihar,47.3408,123.9672,7.99,44,3,0.95,CN,1680195717
127,mount gambier,-37.8333,140.7667,11.63,91,39,1.9,AU,1680195718
128,castro,-24.7911,-50.0119,26.37,57,0,2.74,BR,1680195718
129,cape town,-33.9258,18.4232,19.23,67,20,9.26,ZA,1680195571
130,avera,33.194,-82.5271,22.17,39,0,1.52,US,1680195718
131,saint-francois,46.4154,3.9054,17.69,45,0,4.63,FR,1680195547
132,port augusta,-32.5,137.7667,16.76,74,95,4.18,AU,1680195718
133,tazovskiy,67.4667,78.7,-25.31,99,28,4.05,RU,1680195718
134,yarada,17.65,83.2667,28.18,83,40,2.06,IN,1680195718
135,sarai,53.7458,41.0213,6.82,95,100,3.84,RU,1680195719
136,paamiut,61.994,-49.6678,-5.14,62,0,5.64,GL,1680195719
137,yellowknife,62.456,-114.3525,-16.71,71,75,2.57,CA,1680195654
138,san patricio,28.017,-97.5169,26.04,73,100,8.49,US,1680195719
139,ribeira grande,38.5167,-28.7,18.22,77,20,3.6,PT,1680195719
140,leningradskiy,69.3833,178.4167,-26.32,100,69,2.5,RU,1680195719
141,kavieng,-2.5744,150.7967,24.71,92,100,6.67,PG,1680195719
142,pevek,69.7008,170.3133,-25.12,98,90,3.13,RU,1680195719
143,nanortalik,60.1432,-45.2371,-3.64,69,4,5.04,GL,1680195719
144,kaitangata,-46.2817,169.8464,8.78,92,70,1.48,NZ,1680195719
145,fortuna,40.5982,-124.1573,11.63,78,59,1.34,US,1680195720
146,gruia,44.2675,22.7047,14.41,54,79,2.07,RO,1680195720
147,abalak,58.1286,68.5944,-6.68,82,3,1.27,RU,1680195720
148,rio gallegos,-51.6226,-69.2181,7.03,39,75,8.75,AR,1680195720
149,nikolskoye,59.7035,30.7861,-2.06,98,97,1.8,RU,1680195720
150,onega,63.9061,38.1404,-6.48,91,98,2.02,RU,1680195720
151,presidencia roque saenz pena,-26.7852,-60.4388,36.72,37,20,3.66,AR,1680195720
152,trairi,-3.2778,-39.2689,29.13,68,55,4.18,BR,1680195694
153,hurghada,27.2574,33.8129,22.02,23,1,13.38,EG,1680195720
154,richards bay,-28.783,32.0377,20.2,90,100,2.05,ZA,1680195701
155,aklavik,68.2191,-135.0107,-19.0,71,20,3.6,CA,1680195721
156,cockburn town,21.4612,-71.1419,25.15,75,1,5.57,TC,1680195721
157,atherton,53.5237,-2.4935,14.47,71,43,0.89,GB,1680195722
158,coquimbo,-29.9533,-71.3436,21.85,64,0,4.12,CL,1680195722
159,derzhavinsk,51.1,66.3167,-0.63,63,1,9.01,KZ,1680195724
160,cairns,-16.9167,145.7667,24.97,91,40,1.54,AU,1680195622
161,talkha,31.0539,31.3779,11.38,51,2,4.84,EG,1680195560
162,lianzhou,24.7811,112.3825,15.65,94,100,1.02,CN,1680195726
163,viedma,-40.8135,-62.9967,21.18,15,76,8.69,AR,1680195726
164,puerto ayacucho,5.6639,-67.6236,36.07,34,84,1.84,VE,1680195727
165,kangaatsiaq,68.3065,-53.4641,-19.28,89,42,2.98,GL,1680195727
166,kungurtug,50.5994,97.5228,-1.23,88,87,0.57,RU,1680195727
167,yaan,7.3833,8.5667,36.32,26,14,0.38,NG,1680195728
168,titay,7.8125,122.5344,24.53,87,100,0.58,PH,1680195728
169,bharatpur,27.2167,77.4833,23.45,54,99,3.71,IN,1680195729
170,zabid,14.1951,43.3152,30.62,55,85,2.36,YE,1680195729
171,najran,17.4924,44.1277,28.36,36,45,1.25,SA,1680195729
172,chokurdakh,70.6333,147.9167,-28.09,100,96,1.67,RU,1680195730
173,georgiyevka,43.0369,74.7114,11.02,87,40,3.0,KZ,1680195730
174,tokonou,9.65,-9.7833,27.54,56,88,6.36,GN,1680195730
175,cabo san lucas,22.8909,-109.9124,26.4,42,100,4.17,MX,1680195558
176,kupang,-10.1667,123.5833,25.29,85,99,3.12,ID,1680195731
177,nong khae,14.3406,100.8673,28.86,72,3,3.58,TH,1680195732
178,la reforma,25.0833,-108.05,23.52,32,100,1.04,MX,1680195732
179,bonfim,3.0833,-59.95,35.43,37,75,2.08,BR,1680195732
180,hilo,19.7297,-155.09,22.93,88,100,0.89,US,1680195670
181,tawau,4.2498,117.8871,25.07,88,100,0.89,MY,1680195734
182,constitucion,-35.3333,-72.4167,19.46,40,1,6.75,CL,1680195735
183,puerto ayora,-0.7393,-90.3518,29.98,85,71,3.13,EC,1680195735
184,butaritari,3.0707,172.7902,27.07,81,99,5.13,KI,1680195735
185,raudeberg,61.9875,5.1352,4.42,67,100,0.69,NO,1680195736
186,naze,28.3667,129.4833,17.51,92,100,9.45,JP,1680195736
187,lubango,-14.9172,13.4925,17.1,92,99,0.54,AO,1680195737
188,baraboo,43.4711,-89.7443,3.65,56,100,4.63,US,1680195650
189,zhigansk,66.7697,123.3711,-16.62,85,100,11.76,RU,1680195739
190,longyearbyen,78.2186,15.6401,-8.09,86,75,2.06,SJ,1680195739
191,cidreira,-30.1811,-50.2056,24.25,79,97,3.7,BR,1680195739
192,tungor,53.3808,142.9564,-0.71,100,100,0.49,RU,1680195740
193,chuy,-33.6971,-53.4616,20.3,93,100,5.23,UY,1680195741
194,emerald,-23.5333,148.1667,20.75,87,98,4.85,AU,1680195741
195,youghal,51.95,-7.8506,10.56,100,100,9.15,IE,1680195742
196,caldwell,43.6629,-116.6874,4.45,90,100,7.2,US,1680195537
197,tari,12.4086,4.4914,37.34,7,76,2.36,NG,1680195742
198,adrar,20.5022,-10.0711,36.45,6,37,7.91,MR,1680195742
199,diapaga,12.0708,1.7889,36.81,7,100,1.36,BF,1680195743
200,aripuana,-9.1667,-60.6333,29.54,65,88,0.72,BR,1680195743
201,soe,-9.8607,124.284,18.27,94,100,1.88,ID,1680195744
202,axim,4.8699,-2.2405,28.03,73,100,5.1,GH,1680195744
203,newala,-10.9431,39.2787,19.98,97,100,1.39,TZ,1680195744
204,lerwick,60.1545,-1.1494,8.0,92,89,3.19,GB,1680195745
205,east wenatchee bench,47.4257,-120.2812,10.88,50,93,1.39,US,1680195745
206,kodiak,57.79,-152.4072,1.29,98,100,4.66,US,1680195745
207,puerto madryn,-42.7692,-65.0385,17.01,31,23,8.87,AR,1680195746
208,santa marta,11.2408,-74.199,32.03,62,20,3.09,CO,1680195592
209,san quintin,30.4833,-115.95,14.09,59,43,6.31,MX,1680195746
210,ketchikan,55.3422,-131.6461,2.99,79,60,1.08,US,1680195747
211,lasa,46.6166,10.7002,11.12,97,100,2.13,IT,1680195747
212,henties bay,-22.116,14.2845,16.02,85,2,3.82,NA,1680195747
213,east london,-33.0153,27.9116,19.52,72,0,7.2,ZA,1680195747
214,svetlaya,46.5389,138.3297,2.51,67,76,2.86,RU,1680195748
215,leshukonskoye,64.8989,45.7622,0.88,99,100,4.29,RU,1680195748
216,killybegs,54.6333,-8.45,14.84,76,95,4.73,IE,1680195748
217,karratha,-20.7377,116.8463,27.59,77,37,3.63,AU,1680195748
218,vostok,46.4856,135.8833,-3.59,78,45,2.29,RU,1680195749
219,vardo,70.3705,31.1107,-2.01,93,75,3.6,NO,1680195749
220,matara,5.9485,80.5353,25.31,87,12,0.71,LK,1680195749
221,mocorito,25.4833,-107.9167,25.7,23,100,0.6,MX,1680195749
222,hirara,24.8,125.2833,21.15,88,96,5.66,JP,1680195750
223,klaksvik,62.2266,-6.589,7.51,98,100,11.9,FO,1680195750
224,wageningen,51.9667,5.6667,15.21,68,100,8.75,NL,1680195751
225,provideniya,64.3833,-173.3,-8.57,88,99,3.53,RU,1680195751
226,aykhal,66.0,111.5,-18.73,97,100,6.04,RU,1680195751
227,mezen,65.8522,44.24,0.56,98,100,4.59,RU,1680195751
228,mehtar lam,34.6714,70.2094,14.42,82,100,0.88,AF,1680195751
229,ponta do sol,32.6667,-17.1,22.35,58,35,1.34,PT,1680195752
230,igboho,8.8333,3.75,34.87,26,100,2.32,NG,1680195752
231,talcahuano,-36.7167,-73.1167,16.82,39,0,6.69,CL,1680195752
232,half moon bay,37.4636,-122.4286,11.79,82,40,2.57,US,1680195612
233,douentza,14.9951,-2.9517,37.75,4,4,5.79,ML,1680195753
234,hailar,49.2,119.7,2.86,69,1,3.4,CN,1680195753
235,say,13.1007,2.3689,39.31,7,100,3.72,NE,1680195754
236,georgetown,5.4112,100.3354,29.97,74,20,1.54,MY,1680195664
237,yuzhno-kurilsk,44.0306,145.8556,2.81,96,86,6.29,RU,1680195754
238,broome,42.2506,-75.833,1.37,61,75,6.17,US,1680195758
239,luzhou,28.8724,105.4405,17.79,70,97,1.7,CN,1680195759
240,airai,-8.9266,125.4092,15.19,97,100,0.94,TL,1680195759
241,susangerd,31.5608,48.1831,25.93,25,2,2.28,IR,1680195760
242,lubbock,33.6001,-101.8338,18.14,70,100,10.8,US,1680195668
243,teknaf,20.8624,92.3058,24.38,88,1,1.36,BD,1680195760
244,pangkalanbuun,-2.6833,111.6167,23.89,97,99,1.16,ID,1680195761
245,graaff-reinet,-32.2522,24.5308,18.08,32,0,2.36,ZA,1680195761
246,moncton,46.1159,-64.8019,4.27,65,75,10.8,CA,1680195761
247,lebork,54.5392,17.7501,10.26,92,100,3.74,PL,1680195762
248,anloga,5.7947,0.8973,28.54,78,90,7.2,GH,1680195762
249,muroto,33.2833,134.15,15.14,57,98,2.18,JP,1680195762
250,ust-nera,64.5667,143.2,-5.0,95,100,2.83,RU,1680195763
251,mount isa,-20.7333,139.5,24.87,41,6,1.54,AU,1680195637
252,fairview,40.8126,-73.999,6.52,34,0,5.66,US,1680195611
253,yinchuan,38.4681,106.2731,13.1,43,50,4.55,CN,1680195765
254,buin,-33.7333,-70.75,31.9,15,2,2.37,CL,1680195765
255,mokobeng,-22.9965,27.6678,26.29,41,85,3.04,BW,1680195765
256,constantine,36.365,6.6147,24.67,27,0,5.14,DZ,1680195681
257,khasan,42.4308,130.6434,6.65,58,17,1.42,RU,1680195766
258,acatlan,20.15,-98.45,21.83,42,85,1.31,MX,1680195766
259,shimoda,34.6667,138.95,11.17,69,99,1.83,JP,1680195766
260,juba,4.8517,31.5825,30.33,44,89,0.97,SS,1680195766
261,tateyama,34.9833,139.8667,14.96,76,88,2.92,JP,1680195766
262,bam,29.106,58.357,23.33,26,56,0.55,IR,1680195766
263,locri,38.2414,16.2623,14.52,62,5,2.57,IT,1680195766
264,maragogi,-9.0122,-35.2225,28.45,65,15,3.78,BR,1680195766
265,kuala terengganu,5.3302,103.1408,26.97,83,20,1.03,MY,1680195767
266,sitka,57.0531,-135.33,2.48,71,96,1.14,US,1680195767
267,xuddur,4.1213,43.8894,31.87,31,17,4.53,SO,1680195767
268,kalaleh,37.3807,55.4916,21.78,43,40,4.12,IR,1680195767
269,tiksi,71.6872,128.8694,-29.83,100,100,2.64,RU,1680195768
270,siloam springs,36.1881,-94.5405,18.01,51,100,6.71,US,1680195768
271,asmar,35.0333,71.3581,13.83,78,99,1.11,AF,1680195768
272,el roble,9.1019,-75.1951,34.33,42,48,1.87,CO,1680195768
273,general roca,-39.0333,-67.5833,23.12,17,24,7.63,AR,1680195768
274,san ignacio,17.1561,-89.0714,29.08,65,20,2.06,BZ,1680195768
275,mahebourg,-20.4081,57.7,27.16,89,40,5.14,MU,1680195769
276,srednekolymsk,67.45,153.6833,-16.14,100,100,1.6,RU,1680195769
277,hammerfest,70.6634,23.6821,-0.75,100,100,2.06,NO,1680195769
278,guiratinga,-16.3494,-53.7583,31.38,45,28,2.93,BR,1680195770
279,neijiang,29.5835,105.0622,17.16,66,100,2.58,CN,1680195770
280,sioux lookout,50.1001,-91.917,-6.96,58,75,6.17,CA,1680195622
281,anshun,26.25,105.9333,11.61,89,100,3.2,CN,1680195771
282,dangara,29.6799,75.8931,20.68,60,100,4.31,IN,1680195771
283,ahipara,-35.1667,173.1667,10.49,83,1,2.04,NZ,1680195771
284,sikonge,-5.6333,32.7667,19.36,92,56,2.07,TZ,1680195771
285,bilibino,68.0546,166.4372,-18.65,97,100,1.28,RU,1680195771
286,anadyr,64.75,177.4833,-14.72,85,20,5.0,RU,1680195774
287,sorong,-0.8833,131.25,26.8,80,100,1.59,ID,1680195774
288,iglesias,39.3114,8.535,16.55,58,89,1.16,IT,1680195774
289,ayna,-12.65,-73.9167,15.49,99,100,1.19,PE,1680195774
290,mehamn,71.0357,27.8492,-2.03,100,100,0.0,NO,1680195774
291,gunjur,13.2019,-16.7339,31.04,51,0,4.63,GM,1680195774
292,padang,-0.9492,100.3543,22.03,93,100,2.14,ID,1680195725
293,cayenne,4.9333,-52.3333,30.02,70,75,5.14,GF,1680195774
294,boende,-0.2167,20.8667,20.57,98,100,1.25,CD,1680195775
295,waitati,-45.75,170.5667,8.1,94,24,1.13,NZ,1680195775
296,saint anthony,45.0205,-93.218,1.06,52,75,4.12,US,1680195775
297,rawson,-43.3002,-65.1023,14.16,41,0,8.75,AR,1680195678
298,evensk,61.95,159.2333,-16.76,99,100,1.46,RU,1680195775
299,cherskiy,68.75,161.3,-11.65,95,100,4.92,RU,1680195775
300,mana,5.6592,-53.7767,28.42,69,62,5.28,GF,1680195775
301,thinadhoo,0.5333,72.9333,28.23,73,3,3.2,MV,1680195775
302,santiago,-33.4569,-70.6483,31.41,27,0,3.6,CL,1680195575
303,geraldton,-28.7667,114.6,21.23,83,30,3.09,AU,1680195776
304,jalu,29.0331,21.5482,18.33,25,0,2.83,LY,1680195776
305,berlevag,70.8578,29.0864,-2.0,93,100,3.09,NO,1680195776
306,olafsvik,64.8945,-23.7142,2.84,92,100,5.89,IS,1680195776
307,hami,42.8,93.45,13.92,14,0,4.58,CN,1680195776
308,chapais,49.7834,-74.8492,-8.12,70,100,5.21,CA,1680195776
309,port keats,-14.25,129.55,26.24,79,100,1.14,AU,1680195776
310,akhaldaba,41.654,42.1516,-0.69,96,100,1.19,GE,1680195777
311,sobolevo,54.4299,31.8996,-2.54,91,6,1.81,RU,1680195777
312,wanning,18.8003,110.3967,23.98,92,33,1.7,CN,1680195777
313,kadhan,24.481,68.9859,26.24,49,1,7.12,PK,1680195777
314,pundaguitan,6.3711,126.1689,27.19,79,99,3.16,PH,1680195777
315,camacha,33.0833,-16.3333,23.68,31,0,2.57,PT,1680195777
316,ambilobe,-13.2,49.05,24.61,92,52,1.44,MG,1680195778
317,sur,22.5667,59.5289,25.5,51,0,1.17,OM,1680195778
318,saldanha,-33.0117,17.9442,16.96,84,26,8.92,ZA,1680195779
319,ilulissat,69.2167,-51.1,-11.99,61,20,2.06,GL,1680195779
320,batagay,67.6333,134.6333,-16.94,98,100,1.18,RU,1680195779
321,carutapera,-1.195,-46.02,28.8,72,94,3.44,BR,1680195779
322,emet,39.343,29.2585,-2.05,62,7,2.02,TR,1680195779
323,banda aceh,5.5577,95.3222,26.7,79,100,2.13,ID,1680195642
324,uvinza,-5.1036,30.3911,19.83,94,71,0.95,TZ,1680195780
325,muisne,0.6,-80.0333,27.59,78,32,2.51,EC,1680195780
326,brownsville,25.9018,-97.4975,24.98,80,75,6.69,US,1680195460
327,harper,4.375,-7.7169,28.4,71,97,3.42,LR,1680195780
328,linhares,-19.3911,-40.0722,33.93,33,57,1.78,BR,1680195658
329,sri aman,1.2376,111.4621,25.05,94,100,0.0,MY,1680195781
330,quesnel,52.9999,-122.5029,-4.72,80,0,1.54,CA,1680195781
331,roseburg,43.2165,-123.3417,5.84,89,100,1.54,US,1680195629
332,chongqing,29.5628,106.5528,18.46,64,0,4.0,CN,1680195784
333,los llanos de aridane,28.6585,-17.9182,25.86,28,0,7.2,ES,1680195784
334,umba,66.6871,34.3429,-9.22,92,47,3.31,RU,1680195785
335,asyut,27.181,31.1837,20.1,27,0,8.31,EG,1680195786
336,bria,6.5423,21.9863,28.23,49,82,2.42,CF,1680195786
337,tinskoy,56.1525,96.9161,-6.61,93,100,3.94,RU,1680195786
338,lebu,-37.6167,-73.65,14.73,60,26,6.99,CL,1680195766
